"source_sheet","source_row","phase","stakeholder","timeline","workstream_task"
"Stakeholders by Phase","2","1. Ideation","Event Organiser","12+ months before (Conference/Summit); 6+ months (Hybrid); 3–4 months (Workshop/Panel/Networking/Fireside)","Event necessity qualification; ROI and returns assessment; SMART objectives and KPI framework; audience definition; format selection"
"Stakeholders by Phase","3","1. Ideation","Club ExCo","Same as Event Organiser","Validate event concept; confirm club strategic fit and resource availability"
"Stakeholders by Phase","4","1. Ideation","Editorial Planning Team","As needed — Monday drop-ins (Teams, 2–3pm) or","Optional: validate whether event is right format; explore alternative channels; general strategic guidance"
"Stakeholders by Phase","5","","","editorialplanning@london.edu",""
"Stakeholders by Phase","6","2. Initial Request","Event Organiser","Immediately after ideation","Submit Space Request Form; initiate all Phase 2 submissions; appoint Deputy Event Organiser"
"Stakeholders by Phase","7","2. Initial Request","Club ExCo / Deputy Event Organiser","Immediately after ideation","Team structure confirmed; functional roles assigned (Content, Marketing, Budget, Operations); role clarity test applied"
"Stakeholders by Phase","8","2. Initial Request","Space Management","12+ weeks before (Key Event scale); 4–12 weeks (standard); <4 weeks (low-risk small student gatherings with written explanation of urgency)","Receive Space Request Form; determine Key Event status; confirm venue and Event ID; notify if EIS required"
"Stakeholders by Phase","9","2. Initial Request","Events Oversight Group","Before scheduled review date — earlier submission allows additional review cycles","Business case review; approval, rejection, or conditional approval with stated requirements"
"Stakeholders by Phase","10","2. Initial Request","Editorial Planning Team","3+ months before event if Dean involvement needed","Route Dean invitation request; advise on event positioning and institutional fit"
"Stakeholders by Phase","11","2. Initial Request","SA Treasury","As soon as event concept is confirmed","Finance code approval; SA platform access (Campus Groups / Eventscase); SA Club Support Fund application if applicable"
"Stakeholders by Phase","12","2. Initial Request","SA Sponsorship","When sponsorship strategy is defined","Confirm sponsorship framework and package structure; route all agreements — clubs cannot sign contracts directly"
"Stakeholders by Phase","13","2. Initial Request","Advancement Team","Before any alumni or donor outreach","Notify of event concept; flag any managed relationships to avoid duplication"
"Stakeholders by Phase","14","2. Initial Request","DPO","If under-18 attendance is identified","Provide Child Contributor Consent Form; advise on GDPR obligations specific to the event"
"Stakeholders by Phase","15","3. Coordinated Planning","Tier 1 Speakers","6–12 months before","Outreach and invitation; target confirmation by 3 months before for promotional use"
"Stakeholders by Phase","16","3. Coordinated Planning","Tier 2 Speakers","3–6 months before","Outreach and invitation"
"Stakeholders by Phase","17","3. Coordinated Planning","Tier 3 / Backup Speakers","As needed","Available at shorter notice; confirm quickly to fill gaps"
"Stakeholders by Phase","18","3. Coordinated Planning","Faculty","3–4 months before","Invitation with programme context; flexible around teaching schedule"
"Stakeholders by Phase","19","3. Coordinated Planning","Dean's Office","3–6 months before — via","Dean invitation routing; crib sheet ("
"Stakeholders by Phase","20","","","editorialplanning@london.edu","text_mksdvrxy"
"Stakeholders by Phase","21","","","only; never contact directly",") prepared and linked once attendance confirmed"
"Stakeholders by Phase","22","3. Coordinated Planning","Advancement Team","Before any direct alumni or donor contact","Speaker list shared for donor intelligence; alumni speaker invitations routed through Advancement if needed"
"Stakeholders by Phase","23","3. Coordinated Planning","All Confirmed Speakers","6 weeks before","Initial briefing document sent"
"Stakeholders by Phase","24","3. Coordinated Planning","All Confirmed Speakers","4 weeks before","Briefing call conducted; consent form secured before recording or streaming is publicly promoted"
"Stakeholders by Phase","25","3. Coordinated Planning","All Confirmed Speakers","3–6 months before if international","Travel and accommodation arranged; visa support letters if needed"
"Stakeholders by Phase","26","3. Coordinated Planning","AV Team","3 months before — complex events / live streaming","Contact"
"Stakeholders by Phase","27","","","","avhelp@london.edu"
"Stakeholders by Phase","28","","","","; specify multi-camera, streaming, and network port requirements"
"Stakeholders by Phase","29","3. Coordinated Planning","AV Team","2 months before — Nuffield Hall events","Contact"
"Stakeholders by Phase","30","","","","avhelp@london.edu"
"Stakeholders by Phase","31","","","","; agree full technical setup"
"Stakeholders by Phase","32","3. Coordinated Planning","AV Team","4 weeks before — standard events","Confirm AV requirements"
"Stakeholders by Phase","33","3. Coordinated Planning","Catering Team","4–6 weeks before","Initial menu discussion and brief with"
"Stakeholders by Phase","34","","","","cateringevents@london.edu"
"Stakeholders by Phase","35","3. Coordinated Planning","Catering Team","30 days before","Catering order submitted; must be confirmed in writing — event will not proceed without written confirmation"
"Stakeholders by Phase","36","3. Coordinated Planning","Security Team","4 weeks before","Speaker list submitted to"
"Stakeholders by Phase","37","","","","speakersandguests@london.edu"
"Stakeholders by Phase","38","","","","; sensitive or high-profile speakers flagged"
"Stakeholders by Phase","39","3. Coordinated Planning","Security Team","1 week before","Final speaker changes or additions submitted"
"Stakeholders by Phase","40","3. Coordinated Planning","Duty Managers","4 weeks before — Key Events","EIS submitted via submission form"
"Stakeholders by Phase","41","3. Coordinated Planning","Duty Managers","~4 weeks before — Key Events","Key Events Meeting invitation received; if not received contact"
"Stakeholders by Phase","42","","","","dutymanagers@london.edu"
"Stakeholders by Phase","43","3. Coordinated Planning","Duty Managers","3 weeks before — Key Events","Key Events Meeting attended — mandatory; missing may result in event cancellation"
"Stakeholders by Phase","44","3. Coordinated Planning","Estates / Porters","4+ weeks before","Room layout confirmed; furniture and equipment setup coordinated via"
"Stakeholders by Phase","45","","","","estates@london.edu"
"Stakeholders by Phase","46","3. Coordinated Planning","Welcome Desk","3 weeks before","Welcome desk booked via"
"Stakeholders by Phase","47","","","","welcomedesk@london.edu"
"Stakeholders by Phase","48","3. Coordinated Planning","BSL Interpreters","4 weeks before","Book interpreters via SA ("
"Stakeholders by Phase","49","","","","sa@london.edu"
"Stakeholders by Phase","50","","","","); two required for events over 1 hour"
"Stakeholders by Phase","51","3. Coordinated Planning","All Services Teams + Organizers (student club)","1-4 weeks before","All parties meeting to discuss the key events to happen on campus in the following month (once a week)"
"Stakeholders by Phase","52","3. Coordinated Planning","SA Treasury","2 weeks before","Finance code confirmed in place — required to transact"
"Stakeholders by Phase","53","3. Coordinated Planning","SA Sponsorship","When sponsors confirmed","Sponsorship agreement executed through SA; VAT treatment clarified"
"Stakeholders by Phase","54","4. Content Planning","Editorial Planning Team","6 weeks before","Engage for media and PR planning — hard minimum lead time; submit via"
"Stakeholders by Phase","55","","","","editorialplanning@london.edu"
"Stakeholders by Phase","56","4. Content Planning","Editorial Planning Team","4–6 weeks before","Event Promotion Form review; editorial priority assigned (Gold / Silver / Bronze / EP Highlighted); area and editorial theme confirmed"
"Stakeholders by Phase","57","4. Content Planning","CC Network","~4–6 weeks before","Cross-departmental content review; collaboration opportunities identified"
"Stakeholders by Phase","58","4. Content Planning","Editorial Group","4–6 weeks before","Content format and angle agreed; writer assigned; content subitems created (Drafted → With writer → Briefed to web → Done)"
"Stakeholders by Phase","59","4. Content Planning","PR / Communications Team","6 weeks before — minimum","Media strategy developed; press outreach planned; speakers briefed on media handling"
"Stakeholders by Phase","60","4. Content Planning","Event Promo Group","2–4 weeks before","Promotional channel mix confirmed; messaging and creative approach agreed"
"Stakeholders by Phase","61","4. Content Planning","Social Media Team","2–4 weeks before","Content calendar confirmed; pre-event posts scheduled; live coverage approach agreed"
"Stakeholders by Phase","62","4. Content Planning","Photography Team","4 weeks before","Photographer booking confirmed; shot brief agreed; consent and privacy arrangements confirmed"
"Stakeholders by Phase","63","4. Content Planning","Club / Personal Networks","4–6 weeks before","Self-promotion activated: personal LinkedIn, club mailing lists, WhatsApp groups, Campus Groups listing"
"Stakeholders by Phase","64","4. Content Planning","Confirmed Sponsors","When marketing materials go live","Sponsor recognition confirmed and applied across all promotional channels and materials"
"Stakeholders by Phase","65","5. Pre-Event Execution","All Confirmed Speakers","2 weeks before","Final programme shared"
"Stakeholders by Phase","66","5. Pre-Event Execution","All Confirmed Speakers","1 week before","Final arrangements confirmed"
"Stakeholders by Phase","67","5. Pre-Event Execution","All Confirmed Speakers","Day before","Final check-in; arrival times and green room arrangements confirmed"
"Stakeholders by Phase","68","5. Pre-Event Execution","Dean's Office","2 weeks before","Confirm briefing sent and Dean fully prepared —"
"Stakeholders by Phase","69","","","","dean_attending__1"
"Stakeholders by Phase","70","","","","= Yes - briefing sent"
"Stakeholders by Phase","71","5. Pre-Event Execution","Security Team","7 days before","Final speaker changes or additions submitted"
"Stakeholders by Phase","72","5. Pre-Event Execution","Security Team","48–72 hours before","Final guest list submitted to"
"Stakeholders by Phase","73","5. Pre-Event Execution","Security Team","7 days before (depending on when we secure the guest's availability)","To decide whether additional security services needed depending on the identities of guests"
"Stakeholders by Phase","74","","","","speakersandguests@london.edu"
"Stakeholders by Phase","75","","","","; registration closed to new attendees immediately after"
"Stakeholders by Phase","76","5. Pre-Event Execution","Catering Team","7 days before","Final catering numbers confirmed; alcohol order placed — minimum deadline"
"Stakeholders by Phase","77","5. Pre-Event Execution","Catering Team","5 days before","Dietary requirements list submitted to"
"Stakeholders by Phase","78","","","","cateringevents@london.edu"
"Stakeholders by Phase","79","","","","— names removed per GDPR"
"Stakeholders by Phase","80","5. Pre-Event Execution","Catering Team","72 hours before","Final adjustments — emergencies only"
"Stakeholders by Phase","81","5. Pre-Event Execution","All Campus Services Teams","7 days before","Final requirements confirmed across all teams"
"Stakeholders by Phase","82","5. Pre-Event Execution","All Suppliers","48–72 hours before","Final headcount confirmed"
"Stakeholders by Phase","83","5. Pre-Event Execution","AV Team","Day before — complex events","Full technical rehearsal"
"Stakeholders by Phase","84","5. Pre-Event Execution","AV Team","T–60 min — standard events","Final AV check"
"Stakeholders by Phase","85","5. Pre-Event Execution","Duty Managers","Day before","Venue walk-through"
"Stakeholders by Phase","86","5. Pre-Event Execution","BSL Interpreters","1 week before","Final event materials provided"
"Stakeholders by Phase","87","5. Pre-Event Execution","Welcome Desk","Day before","Final briefing"
"Stakeholders by Phase","88","5. Pre-Event Execution","Team / Volunteers","1–2 weeks before","Written brief distributed"
"Stakeholders by Phase","89","5. Pre-Event Execution","Team / Volunteers","Day before","Verbal briefing conducted; Teams / WhatsApp comms groups confirmed live and tested"
"Stakeholders by Phase","90","5. Pre-Event Execution","Attendees","48 hours before","48-hour reminder email sent: timing, location, transport, dress code, dietary confirmation, WiFi, contact number"
"Stakeholders by Phase","91","6. Event Day","Duty Managers","From T–90 min","Central on-site coordination and emergency response — Sussex Place: 07966 907 265; Sammy Ofer: 07976 806 120"
"Stakeholders by Phase","92","6. Event Day","Security Team","From T–90 min","On-site security; VIP arrival management; capacity and access control — Control room: 02070 006 888"
"Stakeholders by Phase","93","6. Event Day","AV Team","From T–90 min","On-site technical support throughout event"
"Stakeholders by Phase","94","6. Event Day","Catering Team","Per event schedule","Food and beverage service delivery — Catering Duty Manager on call: 07966 907 871"
"Stakeholders by Phase","95","6. Event Day","Estates / Porters","T–90 min","Final room setup; signage placement; on-call for adjustments — out of hours: 07966 907 890"
"Stakeholders by Phase","96","6. Event Day","Welcome Desk","T–30 min","Registration support; guest wayfinding; health and safety attendance tracking"
"Stakeholders by Phase","97","6. Event Day","Photography Team","Throughout event","Content capture per agreed shot brief; respect opt-out indicators (red dots / wristbands)"
"Stakeholders by Phase","98","6. Event Day","Social Media Team","Throughout event","Live coverage; real-time posts using"
"Stakeholders by Phase","99","","","","#WhyILoveLBS"
"Stakeholders by Phase","100","6. Event Day","Speakers / VIPs","Per run of show","Programme delivery; green room managed throughout by dedicated team member"
