"source_sheet","source_row","time_relative_to_event","component","phase"
"Timelines within Phase","4","VARIABLE — set by event format choice","",""
"Timelines within Phase","5","12+ months before","Conference / Summit: begin ideation","1"
"Timelines within Phase","6","12+ months before","Strategic Event identification with Editorial Planning","1"
"Timelines within Phase","7","6+ months before","Hybrid event: begin ideation","1"
"Timelines within Phase","8","3–4 months before","Workshop / Panel / Networking / Fireside: begin ideation","1"
"Timelines within Phase","9","FIXED PLANNING HORIZON","",""
"Timelines within Phase","10","9 months before","External venue: submit booking and begin procurement assessment","2"
"Timelines within Phase","11","6–12 months before","Tier 1 (dream) speaker outreach begins","3"
"Timelines within Phase","12","6 months before","Dean attendance request — ideal lead time","3"
"Timelines within Phase","13","3–6 months before","Tier 2 speaker outreach begins","3"
"Timelines within Phase","14","3–6 months before","Sponsorship conversations begin — note: many companies set annual budgets April–August for following year; financial year-end budgets available December / March","3"
"Timelines within Phase","15","3 months before","Complex AV / live streaming: contact","3"
"Timelines within Phase","16","","avhelp@london.edu",""
"Timelines within Phase","17","3 months before","Dean attendance request — minimum notice for student organisers","3"
"Timelines within Phase","18","3 months before","Tier 1 speaker: target confirmation deadline for use in event promotion","3"
"Timelines within Phase","19","12+ weeks before","Space Request Form submitted to","2"
"Timelines within Phase","20","","space@london.edu",""
"Timelines within Phase","21","2 months before","Nuffield Hall AV: contact","3"
"Timelines within Phase","22","","avhelp@london.edu",""
"Timelines within Phase","23","COORDINATED PLANNING WINDOW","",""
"Timelines within Phase","24","6 weeks before","Speaker initial briefing document sent","3"
"Timelines within Phase","25","6 weeks before","Media / PR planning: engage","4"
"Timelines within Phase","26","","editorialplanning@london.edu",""
"Timelines within Phase","27","","— hard minimum",""
"Timelines within Phase","28","4–6 weeks before","Event Promotion Form submitted for central promotional support","4"
"Timelines within Phase","29","4 weeks before","EIS submitted to Duty Manager team — Key Events only","3"
"Timelines within Phase","30","4 weeks before","Speaker list submitted to Security at","3"
"Timelines within Phase","31","","speakersandguests@london.edu",""
"Timelines within Phase","32","4 weeks before","BSL interpreters booked","3"
"Timelines within Phase","33","4 weeks before","AV requirements confirmed — standard events","3"
"Timelines within Phase","34","~4 weeks before","Key Events Meeting invitation received from Duty Manager team","3"
"Timelines within Phase","35","4 weeks before","Speaker briefing call scheduled","3"
"Timelines within Phase","36","30 days before","Catering order submitted to","3"
"Timelines within Phase","37","","cateringevents@london.edu",""
"Timelines within Phase","38","2–4 weeks before","Event Promo Group review takes place","4"
"Timelines within Phase","39","3 weeks before","Key Events Meeting attended — mandatory for Key Events (Thursdays 11am, Teams)","3"
"Timelines within Phase","40","3 weeks before","Welcome desk booked","3"
"Timelines within Phase","41","2 weeks before","Finance code approved and confirmed in place","3"
"Timelines within Phase","42","PRE-EVENT EXECUTION WINDOW","",""
"Timelines within Phase","43","2 weeks before","Final programme shared with all speakers","5"
"Timelines within Phase","44","1–2 weeks before","Written team brief distributed to all staff and volunteers","5"
"Timelines within Phase","45","1 week before","Final speaker arrangements confirmed","5"
"Timelines within Phase","46","1 week before","BSL materials provided to interpreters","5"
"Timelines within Phase","47","7 days before","Final catering numbers confirmed","5"
"Timelines within Phase","48","7 days before","Alcohol order placed — minimum deadline","5"
"Timelines within Phase","49","7 days before","Final speaker changes or additions submitted to Security","5"
"Timelines within Phase","50","7 days before","All Campus Services teams: final requirements received","5"
"Timelines within Phase","51","5 days before","Dietary requirements list sent to catering — names removed per GDPR","5"
"Timelines within Phase","52","48–72 hours before","Final guest list submitted to Security; registration closed to new attendees","5"
"Timelines within Phase","53","48–72 hours before","Final headcount sent to all suppliers","5"
"Timelines within Phase","54","72 hours before","Final catering / alcohol adjustments — emergencies only","5"
"Timelines within Phase","55","48 hours before","48-hour attendee reminder email sent","5"
"Timelines within Phase","56","48 hours before","48-hour rule: no major event changes unless absolutely critical","5"
"Timelines within Phase","57","Day before","Technical rehearsal — complex events","5"
"Timelines within Phase","58","Day before","Venue walk-through with Duty Manager","5"
"Timelines within Phase","59","Day before","Verbal team briefing conducted","5"
"Timelines within Phase","60","Day before","All technology tested; Teams / WhatsApp comms groups confirmed live","5"
"Timelines within Phase","61","Day before","Weather contingency decision made and communicated","5"
"Timelines within Phase","62","EVENT DAY","",""
"Timelines within Phase","63","T − 90 min","Full team arrives on site","6"
"Timelines within Phase","64","T − 60 min","Supplier setup begins; final AV check for standard events","6"
"Timelines within Phase","65","T − 45 min","Final team briefing huddle","6"
"Timelines within Phase","66","T − 30 min","Registration desk live","6"
"Timelines within Phase","67","T − 15 min","Welcome team in position","6"
"Timelines within Phase","68","T + 0","Doors open","6"
"Timelines within Phase","69","POST-EVENT CLOSURE","",""
"Timelines within Phase","70","Within 24 hours","Thank speakers, VIPs, and major sponsors; post social media highlights","7"
"Timelines within Phase","71","Within 48 hours","Thank all attendees, volunteers, staff, and Campus Services teams","7"
"Timelines within Phase","72","Within 1 week","Structured team debrief; begin invoice collection; start budget reconciliation","7"
"Timelines within Phase","73","Within 2 weeks","Expense claims completed; recordings and follow-up resources distributed to attendees","7"
"Timelines within Phase","74","Within 10 working days","Budget reconciliation completed — target deadline","7"
"Timelines within Phase","75","Within 1 month","Final budget report produced; all payments processed; LBS event reporting form submitted","7"
